Customer_Attrition,Gender,Marital_Status,Months_Inactive,Total_Transaction_Amount,Total_Transaction_Count
Existing Customer,M,Married,2,1394,35
Existing Customer,M,Single,3,1341,24
Existing Customer,M,Single,3,1289,33
Existing Customer,F,Single,4,1112,23
Existing Customer,F,Single,4,2339,57
Existing Customer,M,Divorced,1,1468,23
Existing Customer,M,Married,3,1334,35
Existing Customer,M,Married,4,1457,41
Existing Customer,M,Unknown,2,1603,29
Attrited Customer,F,Married,4,615,12
Existing Customer,F,Married,3,1068,20
Existing Customer,M,Divorced,4,1590,27
Existing Customer,M,Married,3,1531,35
Existing Customer,M,Single,2,1212,31
Existing Customer,F,Single,2,1237,32
Existing Customer,M,Single,3,1413,14
Existing Customer,M,Married,3,1516,29
Existing Customer,F,Single,2,1276,21
Existing Customer,M,Single,3,1564,35
Existing Customer,M,Single,4,1465,34
Existing Customer,M,Single,4,1286,29
Existing Customer,F,Married,1,1312,20
Existing Customer,M,Married,4,1673,32
Existing Customer,M,Married,4,1313,30
Existing Customer,M,Married,3,1609,42
Existing Customer,M,Married,2,1158,19
Attrited Customer,M,Married,3,836,18
Existing Customer,F,Single,4,1289,22
Existing Customer,F,Married,3,1487,26
Existing Customer,M,Married,2,1259,33
Existing Customer,F,Single,3,1298,15
Existing Customer,M,Unknown,3,1226,34
Existing Customer,F,Married,3,1566,37
Existing Customer,M,Single,1,1022,21
Existing Customer,M,Married,2,1235,30
Existing Customer,F,Married,0,1951,44
Existing Customer,M,Divorced,3,1047,31
Existing Customer,M,Married,3,1342,32
Existing Customer,M,Married,3,1107,21
Existing Customer,M,Divorced,1,1251,35
Existing Customer,F,Married,2,1305,24
Existing Customer,M,Single,1,1388,37
Existing Customer,M,Single,2,1235,18
Existing Customer,M,Unknown,2,2089,36
Existing Customer,M,Single,1,1626,25
Existing Customer,M,Married,6,1111,24
Existing Customer,F,Married,2,1553,38
Existing Customer,M,Single,2,1064,13
Existing Customer,F,Married,1,1243,29
Existing Customer,M,Married,2,1659,38
Existing Customer,F,Single,3,1594,47
Existing Customer,M,Single,3,1268,42
Existing Customer,M,Single,2,1304,24
Existing Customer,M,Single,1,1368,30
Attrited Customer,M,Married,3,720,23
Existing Customer,M,Single,1,1521,29
Existing Customer,F,Unknown,2,1137,30
Existing Customer,F,Married,1,978,16
Existing Customer,M,Married,1,1221,16
Existing Customer,M,Married,2,1565,28
Existing Customer,M,Married,1,1578,34
Existing Customer,M,Single,1,1493,32
Existing Customer,F,Single,1,1178,27
Existing Customer,M,Divorced,3,991,26
Existing Customer,M,Divorced,1,2560,42
Existing Customer,F,Married,2,1657,29
Existing Customer,F,Single,2,1204,19
Attrited Customer,F,Married,3,673,18
Existing Customer,M,Single,2,1131,18
Existing Customer,M,Married,3,1576,25
Existing Customer,F,Single,2,1217,20
Attrited Customer,M,Single,3,530,10
Attrited Customer,F,Married,2,739,16
Existing Customer,F,Single,3,1617,31
Existing Customer,M,Married,2,1592,34
Existing Customer,F,Married,1,1343,30
Existing Customer,M,Married,1,1303,39
Existing Customer,M,Single,1,1351,22
Existing Customer,M,Married,2,1910,32
Existing Customer,F,Single,2,1298,22
Existing Customer,M,Single,2,1087,29
Existing Customer,F,Married,2,1439,26
Existing Customer,F,Married,3,1238,28
Existing Customer,F,Single,1,1716,29
Existing Customer,M,Married,1,1099,27
Existing Customer,F,Married,3,1058,24
Existing Customer,F,Divorced,3,1285,29
Existing Customer,M,Married,2,1651,28
Existing Customer,F,Single,3,1152,31
Existing Customer,M,Married,2,1767,38
Existing Customer,F,Divorced,5,1039,24
Existing Customer,F,Married,2,1130,28
Existing Customer,F,Married,1,1645,30
Existing Customer,F,Married,1,1413,29
Existing Customer,F,Married,3,1218,23
Attrited Customer,M,Single,3,597,17
Existing Customer,M,Married,2,2184,53
Existing Customer,F,Divorced,3,1592,37
Existing Customer,F,Married,3,1388,28
Attrited Customer,M,Married,2,757,20
Existing Customer,M,Married,1,1504,34
Existing Customer,F,Married,1,1503,34
Existing Customer,F,Divorced,2,1105,28
Existing Customer,M,Married,1,2398,47
Existing Customer,F,Married,3,1661,32
Existing Customer,F,Single,3,1421,22
Existing Customer,F,Married,2,999,28
Existing Customer,M,Married,2,1387,18
Existing Customer,M,Married,2,1243,24
Existing Customer,F,Married,3,1860,36
Existing Customer,M,Married,2,1502,25
Existing Customer,M,Married,1,1460,50
Existing Customer,F,Single,2,1348,27
Existing Customer,M,Single,1,1087,33
Existing Customer,F,Single,1,1226,33
Existing Customer,F,Married,1,1230,28
Existing Customer,F,Married,1,1555,32
Existing Customer,M,Married,3,1827,24
Existing Customer,M,Unknown,2,1376,35
Existing Customer,F,Married,2,1771,37
Existing Customer,M,Married,3,1873,52
Existing Customer,F,Married,1,1679,42
Existing Customer,F,Married,1,1002,22
Existing Customer,M,Unknown,2,1344,21
Existing Customer,M,Married,3,1461,42
Attrited Customer,M,Married,3,760,21
Existing Customer,M,Married,1,1428,22
Existing Customer,M,Married,3,1777,42
Existing Customer,M,Married,5,1302,27
Existing Customer,M,Married,5,1483,41
Existing Customer,M,Married,2,1060,27
Existing Customer,M,Married,2,1330,32
Existing Customer,F,Divorced,2,1229,27
Attrited Customer,F,Married,4,886,27
Attrited Customer,M,Married,3,844,24
Existing Customer,M,Married,1,1450,37
Existing Customer,M,Married,3,2311,48
Existing Customer,F,Married,1,1378,26
Existing Customer,M,Unknown,2,1033,26
Existing Customer,M,Married,3,1523,40
Existing Customer,M,Single,2,1374,37
Existing Customer,M,Married,3,1080,21
Existing Customer,M,Single,2,1234,24
Existing Customer,F,Single,2,1600,32
Existing Customer,M,Married,1,1155,32
Existing Customer,M,Married,1,1353,33
Existing Customer,F,Divorced,1,1546,25
Existing Customer,M,Single,1,1590,43
Existing Customer,F,Married,1,1448,22
Existing Customer,M,Single,3,1271,24
Existing Customer,F,Divorced,2,1223,20
Existing Customer,F,Divorced,2,1117,29
Existing Customer,M,Single,3,994,24
Existing Customer,M,Single,1,1468,26
Existing Customer,F,Divorced,4,1658,38
Existing Customer,F,Married,1,1368,38
Existing Customer,M,Married,3,1218,18
Attrited Customer,F,Married,4,702,12
Existing Customer,M,Married,3,1516,21
Existing Customer,M,Single,2,1310,26
Existing Customer,M,Divorced,2,1767,50
Existing Customer,M,Single,3,933,25
Existing Customer,M,Married,3,1512,27
Attrited Customer,M,Married,3,829,17
Existing Customer,M,Unknown,3,1120,27
Existing Customer,M,Married,3,1506,33
Existing Customer,M,Single,1,1384,36
Attrited Customer,F,Married,3,817,30
Existing Customer,M,Single,2,2094,25
Attrited Customer,M,Married,2,815,21
Attrited Customer,F,Married,3,510,24
Existing Customer,M,Married,2,1377,49
Existing Customer,M,Single,2,1193,33
Existing Customer,F,Single,3,1287,36
Attrited Customer,M,Married,3,701,19
Existing Customer,M,Married,1,1770,25
Existing Customer,M,Single,1,1409,35
Existing Customer,M,Single,1,1354,28
Existing Customer,M,Married,3,1765,34
Existing Customer,M,Unknown,3,1192,27
Attrited Customer,M,Single,4,687,17
Existing Customer,M,Married,2,1227,15
Existing Customer,F,Married,3,1737,26
Existing Customer,M,Single,1,1348,34
Existing Customer,M,Single,2,1435,38
Existing Customer,F,Single,3,1321,28
Existing Customer,M,Married,3,1479,29
Existing Customer,M,Unknown,2,1283,39
Attrited Customer,F,Married,4,689,23
Existing Customer,M,Married,3,965,17
Existing Customer,F,Married,3,1541,40
Existing Customer,M,Married,1,1258,23
Existing Customer,F,Married,2,1339,20
Existing Customer,F,Unknown,2,1007,22
Existing Customer,F,Divorced,3,1387,33
Attrited Customer,F,Married,3,960,18
Existing Customer,M,Married,3,1119,18
Existing Customer,M,Single,1,1642,41
Existing Customer,M,Divorced,3,1382,31
Existing Customer,M,Married,2,1232,32
Existing Customer,M,Single,3,1542,16
Existing Customer,M,Single,3,1094,32
Existing Customer,F,Married,2,1217,30
Attrited Customer,M,Single,1,744,18
Existing Customer,F,Married,2,1614,33
Existing Customer,M,Divorced,2,1747,31
Existing Customer,F,Married,1,1144,22
Existing Customer,M,Single,3,1575,34
Existing Customer,M,Unknown,3,1463,24
Existing Customer,F,Married,2,1706,21
Attrited Customer,F,Married,3,909,14
Existing Customer,M,Married,1,2434,33
Existing Customer,M,Married,1,1876,41
Attrited Customer,M,Married,3,1000,25
Existing Customer,F,Single,3,1139,30
Attrited Customer,F,Married,2,799,21
Existing Customer,F,Married,2,1881,45
Existing Customer,M,Single,3,1273,27
Existing Customer,F,Single,3,1328,33
Existing Customer,M,Married,4,1579,36
Existing Customer,M,Unknown,1,937,28
Existing Customer,M,Single,3,1749,37
Existing Customer,M,Married,1,1424,29
Existing Customer,M,Married,3,2011,41
Existing Customer,F,Married,2,1208,31
Existing Customer,F,Unknown,3,1259,24
Existing Customer,M,Single,3,1319,26
Existing Customer,M,Single,2,949,27
Existing Customer,M,Married,3,1338,30
Existing Customer,M,Divorced,3,1554,26
Existing Customer,M,Married,2,1350,32
Existing Customer,M,Married,2,1694,44
Existing Customer,M,Married,3,1678,40
Existing Customer,F,Married,1,2069,43
Existing Customer,M,Single,3,1222,23
Existing Customer,M,Single,3,1536,37
Existing Customer,F,Married,1,1400,31
Existing Customer,M,Married,2,1050,28
Existing Customer,M,Married,2,1389,33
Existing Customer,M,Single,2,1184,29
Existing Customer,F,Married,6,2093,42
Attrited Customer,M,Married,3,678,11
Existing Customer,F,Single,3,1467,29
Existing Customer,M,Married,3,1219,27
Existing Customer,F,Married,2,1730,36
Existing Customer,F,Married,2,1025,28
Existing Customer,M,Married,5,1165,33
Existing Customer,M,Married,2,2133,55
Existing Customer,M,Single,2,1122,13
Existing Customer,F,Divorced,1,1083,22
Existing Customer,M,Single,3,1234,23
Existing Customer,F,Married,3,1277,23
Existing Customer,M,Married,3,1843,35
Existing Customer,M,Married,2,1747,49
Existing Customer,F,Married,3,1166,22
Existing Customer,M,Unknown,2,1326,31
Existing Customer,F,Married,3,1619,36
Existing Customer,F,Single,2,1285,16
Existing Customer,F,Single,1,1142,28
Existing Customer,F,Single,1,1190,46
Existing Customer,F,Single,1,1052,24
Existing Customer,M,Divorced,3,1628,38
Existing Customer,M,Married,3,1740,32
Existing Customer,F,Married,3,1378,29
Attrited Customer,M,Married,3,996,26
Existing Customer,F,Married,2,1389,32
Existing Customer,M,Married,3,1365,38
Existing Customer,F,Single,1,1715,43
Existing Customer,M,Married,3,1582,25
Existing Customer,M,Single,3,1220,22
Attrited Customer,M,Married,4,715,13
Existing Customer,M,Married,1,2552,49
Existing Customer,M,Married,2,1106,31
Existing Customer,F,Married,1,1731,34
Existing Customer,M,Single,3,1435,32
Existing Customer,M,Married,3,1882,38
Existing Customer,F,Married,1,2058,34
Existing Customer,M,Married,4,1658,32
Existing Customer,F,Divorced,1,1334,32
Existing Customer,M,Married,3,1441,29
Existing Customer,F,Single,2,1371,39
Existing Customer,M,Single,3,1991,38
Existing Customer,M,Single,2,1278,22
Existing Customer,M,Married,2,1734,39
Existing Customer,M,Single,2,1330,34
Existing Customer,F,Married,1,1787,31
Existing Customer,M,Married,3,1672,32
Existing Customer,F,Married,3,1439,41
Existing Customer,M,Single,1,1558,31
Existing Customer,M,Single,3,1795,47
Existing Customer,F,Married,2,893,22
Existing Customer,F,Married,3,1099,27
Existing Customer,M,Married,3,1408,23
Existing Customer,F,Married,3,1893,15
Existing Customer,F,Married,2,1151,31
Existing Customer,F,Single,3,1519,31
Existing Customer,M,Married,3,1245,25
Existing Customer,M,Married,3,1102,27
Existing Customer,M,Married,3,1402,33
Existing Customer,F,Single,2,1060,30
Existing Customer,F,Married,5,1459,35
Existing Customer,F,Single,2,1456,39
Existing Customer,F,Single,3,1439,48
Existing Customer,M,Married,3,1353,24
Existing Customer,M,Married,3,1173,32
Existing Customer,M,Married,2,1746,28
Existing Customer,F,Single,2,1279,28
Existing Customer,F,Married,2,1307,29
Existing Customer,M,Married,2,1473,37
Existing Customer,M,Unknown,2,1805,37
Existing Customer,M,Married,3,1421,23
Existing Customer,F,Married,3,1272,37
Existing Customer,M,Married,2,1409,34
Attrited Customer,M,Unknown,5,647,15
Existing Customer,M,Married,3,1275,25
Existing Customer,M,Married,1,1270,27
Existing Customer,F,Married,2,1702,37
Existing Customer,M,Married,2,1256,26
Existing Customer,F,Single,1,3178,53
Existing Customer,M,Married,1,1626,29
Existing Customer,F,Divorced,1,1562,33
Existing Customer,F,Married,3,1960,57
Existing Customer,M,Single,1,1154,38
Existing Customer,M,Married,1,1629,38
Existing Customer,M,Unknown,3,1226,25
Existing Customer,M,Married,3,1743,27
Existing Customer,M,Single,2,1139,39
Existing Customer,M,Unknown,3,1073,21
Attrited Customer,M,Married,3,683,17
Existing Customer,M,Married,3,1159,32
Existing Customer,M,Married,1,1859,47
Existing Customer,M,Married,5,1205,28
Existing Customer,M,Single,3,1409,37
Attrited Customer,M,Married,3,1000,18
Existing Customer,M,Unknown,2,1209,39
Existing Customer,M,Married,2,1366,25
Existing Customer,F,Single,3,1161,44
Existing Customer,M,Married,3,1512,38
Existing Customer,M,Married,1,1750,35
Existing Customer,M,Single,3,1170,24
Existing Customer,F,Married,3,2218,50
Existing Customer,M,Married,2,1198,33
Existing Customer,M,Married,2,1329,26
Attrited Customer,F,Married,3,857,36
Existing Customer,M,Single,3,1470,30
Existing Customer,M,Married,3,1435,25
Existing Customer,M,Single,1,1093,22
Attrited Customer,F,Married,3,715,20
Existing Customer,M,Single,2,1512,42
Existing Customer,M,Married,2,2399,43
Existing Customer,M,Single,3,906,22
Existing Customer,F,Married,2,1052,16
Existing Customer,M,Married,3,975,11
Attrited Customer,M,Single,3,783,20
Existing Customer,M,Married,1,990,21
Existing Customer,M,Married,1,1097,24
Attrited Customer,F,Married,3,901,35
Existing Customer,F,Divorced,3,1327,41
Existing Customer,F,Divorced,1,1814,31
Existing Customer,F,Married,3,1365,34
Existing Customer,F,Divorced,3,1058,34
Existing Customer,M,Divorced,1,1476,38
Existing Customer,F,Married,1,1230,36
Existing Customer,F,Married,1,1581,44
Existing Customer,F,Married,1,1534,29
Existing Customer,M,Divorced,2,1612,39
Existing Customer,M,Single,1,1302,36
Existing Customer,M,Divorced,1,1439,40
Existing Customer,F,Married,3,1724,45
Existing Customer,M,Single,2,1784,35
Existing Customer,M,Unknown,2,1156,29
Existing Customer,F,Married,2,2556,49
Existing Customer,M,Married,3,1590,37
Attrited Customer,F,Single,2,884,19
Attrited Customer,F,Single,1,973,25
Existing Customer,F,Single,2,1447,30
Existing Customer,M,Single,3,1150,26
Existing Customer,M,Married,3,1193,21
Attrited Customer,M,Married,3,706,21
Existing Customer,F,Single,1,1257,23
Existing Customer,F,Divorced,1,1303,35
Existing Customer,F,Single,1,1306,39
Attrited Customer,M,Married,3,748,20
Existing Customer,M,Married,2,1774,42
Existing Customer,F,Married,1,1209,25
Existing Customer,F,Married,1,1074,31
Existing Customer,M,Married,2,1786,50
Existing Customer,F,Single,1,1456,36
Existing Customer,M,Single,2,1300,25
Existing Customer,M,Single,2,1470,42
Attrited Customer,M,Unknown,1,715,25
Existing Customer,M,Single,2,1198,24
Existing Customer,M,Unknown,2,1556,43
Existing Customer,M,Married,2,1606,30
Attrited Customer,F,Single,3,929,31
Existing Customer,M,Married,3,1606,54
Existing Customer,M,Single,3,1199,32
Existing Customer,F,Married,3,2400,60
Existing Customer,F,Married,2,1337,44
Existing Customer,M,Divorced,2,1270,33
Attrited Customer,M,Single,2,654,14
Existing Customer,M,Married,3,1909,54
Attrited Customer,F,Single,3,922,25
Existing Customer,F,Single,3,1158,42
Existing Customer,M,Married,6,1323,26
Existing Customer,M,Single,1,1025,35
Existing Customer,M,Married,1,1700,35
Existing Customer,M,Divorced,3,1628,51
Existing Customer,F,Married,2,1377,32
Existing Customer,M,Single,3,1517,33
Existing Customer,F,Married,3,1528,25
Existing Customer,M,Single,1,1329,24
Existing Customer,F,Divorced,1,1505,33
Existing Customer,F,Single,3,1172,38
Existing Customer,M,Married,2,1646,39
Existing Customer,F,Married,2,1693,32
Existing Customer,M,Single,1,1336,23
Existing Customer,M,Married,1,1289,19
Existing Customer,M,Single,1,1416,32
Existing Customer,F,Divorced,1,1608,33
Existing Customer,F,Married,1,1885,51
Existing Customer,M,Married,3,1744,53
Existing Customer,M,Married,1,1922,48
Existing Customer,M,Unknown,2,1448,29
Existing Customer,M,Single,3,1300,36
Existing Customer,M,Married,2,1366,31
Existing Customer,F,Married,2,1439,39
Existing Customer,F,Married,3,1241,46
Existing Customer,M,Married,3,1917,33
Existing Customer,F,Divorced,1,1391,39
Existing Customer,F,Single,1,1246,31
Existing Customer,M,Married,3,1248,27
Existing Customer,F,Married,2,1936,44
Existing Customer,M,Single,3,2375,63
Existing Customer,M,Married,1,1238,25
Existing Customer,F,Married,3,1626,41
Attrited Customer,F,Single,3,791,22
Existing Customer,F,Single,3,1204,28
Existing Customer,M,Unknown,2,1300,33
Existing Customer,M,Single,2,1612,47
Existing Customer,F,Single,2,1071,28
Existing Customer,M,Married,3,1378,37
Existing Customer,F,Single,2,1100,29
Existing Customer,F,Married,1,2052,45
Existing Customer,M,Single,2,1349,33
Existing Customer,M,Unknown,1,1215,36
Attrited Customer,M,Single,2,1149,25
Existing Customer,F,Married,2,2354,50
Existing Customer,M,Single,3,2644,40
Attrited Customer,M,Married,3,918,14
Existing Customer,M,Single,2,1362,31
Existing Customer,M,Married,3,1222,37
Existing Customer,M,Divorced,1,1364,32
Existing Customer,M,Married,1,1463,40
Existing Customer,F,Married,3,1631,31
Existing Customer,M,Single,3,1878,55
Existing Customer,F,Single,3,1489,32
Existing Customer,F,Divorced,2,1437,37
Existing Customer,M,Single,2,1313,37
Existing Customer,M,Single,2,1290,38
Existing Customer,F,Married,3,1975,49
Attrited Customer,F,Married,2,807,22
Existing Customer,F,Unknown,3,1438,28
Existing Customer,M,Married,3,1233,29
Attrited Customer,M,Married,5,709,27
Existing Customer,M,Single,3,1597,39
Existing Customer,M,Married,3,1283,28
Existing Customer,M,Married,1,1101,37
Existing Customer,M,Married,3,1593,36
Existing Customer,F,Single,2,1631,46
Existing Customer,F,Married,1,2194,53
Existing Customer,F,Single,3,1128,27
Existing Customer,M,Married,3,1497,35
Existing Customer,M,Single,1,1385,50
Existing Customer,F,Married,2,1449,27
Attrited Customer,F,Married,3,974,28
Attrited Customer,M,Married,2,731,18
Existing Customer,F,Married,2,1191,37
Existing Customer,M,Divorced,2,1421,34
Existing Customer,M,Married,2,1256,35
Existing Customer,M,Married,3,1744,50
Existing Customer,M,Single,3,1766,39
Existing Customer,F,Married,2,2229,48
Existing Customer,M,Single,2,1773,39
Existing Customer,M,Married,3,1860,37
Existing Customer,M,Unknown,3,1179,27
Attrited Customer,M,Married,3,906,16
Existing Customer,M,Single,1,2781,54
Existing Customer,M,Single,3,1650,53
Existing Customer,F,Single,1,1446,37
Existing Customer,M,Married,3,1703,48
Attrited Customer,M,Married,5,761,17
Existing Customer,M,Single,2,1536,44
Existing Customer,M,Single,3,1373,36
Existing Customer,M,Single,3,1256,29
Attrited Customer,M,Single,3,643,16
Existing Customer,M,Divorced,2,1215,45
Existing Customer,M,Married,6,2244,58
Existing Customer,M,Unknown,2,1409,36
Existing Customer,M,Unknown,2,1469,23
Existing Customer,M,Married,1,1847,59
Existing Customer,F,Single,1,1277,29
Existing Customer,M,Married,2,1227,24
Existing Customer,F,Married,2,1336,38
Existing Customer,M,Married,1,1110,58
Existing Customer,F,Married,2,1474,26
Existing Customer,F,Married,3,1955,44
Attrited Customer,M,Married,3,660,17
Attrited Customer,M,Married,2,888,18
Existing Customer,F,Married,1,1785,45
Attrited Customer,M,Married,2,705,14
Existing Customer,M,Married,1,1211,25
Existing Customer,M,Married,2,1391,40
Existing Customer,F,Married,3,1407,29
Existing Customer,M,Single,1,1616,50
Existing Customer,M,Married,2,1498,43
Existing Customer,M,Married,1,1536,38
Existing Customer,F,Divorced,1,1594,45
Existing Customer,M,Married,1,1190,30
Existing Customer,M,Married,5,1248,37
Attrited Customer,F,Married,4,827,21
Attrited Customer,F,Married,1,920,18
Existing Customer,M,Single,2,1755,54
Attrited Customer,M,Married,2,804,15
Existing Customer,M,Divorced,2,1196,30
Attrited Customer,F,Married,1,850,22
Existing Customer,M,Married,2,1644,28
Existing Customer,M,Married,3,1749,50
Existing Customer,F,Married,2,2307,45
Existing Customer,M,Married,3,1757,45
Existing Customer,F,Married,2,1826,35
Attrited Customer,F,Single,2,799,17
Existing Customer,F,Single,5,2121,60
Existing Customer,F,Married,1,1468,29
Existing Customer,M,Married,2,1482,46
Existing Customer,M,Married,2,1726,37
Existing Customer,M,Single,2,1806,31
Existing Customer,M,Married,2,1405,43
Existing Customer,F,Married,3,2052,50
Existing Customer,F,Single,1,1175,34
Existing Customer,M,Single,1,1786,37
Existing Customer,F,Married,3,1675,58
Existing Customer,M,Married,3,1200,36
Existing Customer,F,Married,2,1283,37
Existing Customer,F,Married,3,1937,57
Existing Customer,F,Married,2,2033,38
Existing Customer,M,Married,1,1915,37
Existing Customer,F,Married,2,1988,36
Existing Customer,M,Married,1,1648,30
Existing Customer,F,Married,1,1902,45
Existing Customer,M,Single,3,1454,35
Attrited Customer,M,Married,1,838,24
Existing Customer,M,Married,2,1918,61
Attrited Customer,M,Single,1,837,25
Existing Customer,F,Unknown,3,4311,78
Existing Customer,F,Married,2,1567,33
Existing Customer,F,Married,1,1905,39
Existing Customer,M,Married,1,1422,26
Existing Customer,M,Married,2,1680,32
Existing Customer,F,Married,1,1652,41
Existing Customer,F,Married,3,1158,26
Existing Customer,M,Married,3,1797,46
Existing Customer,M,Married,2,1911,55
Existing Customer,M,Married,2,1260,27
Existing Customer,F,Married,2,1489,45
Existing Customer,M,Married,3,1794,31
Existing Customer,M,Single,2,1510,42
Attrited Customer,M,Single,3,3231,47
Existing Customer,M,Unknown,2,1274,32
Existing Customer,F,Married,1,1572,57
Existing Customer,M,Married,1,1935,41
Existing Customer,M,Married,3,2187,59
Existing Customer,F,Married,1,1417,25
Existing Customer,M,Single,3,1465,31
Existing Customer,M,Single,2,1570,45
Existing Customer,M,Single,2,1445,40
Attrited Customer,F,Married,1,694,15
Existing Customer,F,Divorced,1,1929,40
Existing Customer,M,Single,1,2447,64
Existing Customer,M,Single,2,1306,31
Attrited Customer,M,Married,2,646,10
Existing Customer,F,Divorced,1,1236,35
Existing Customer,M,Married,1,2513,63
Existing Customer,F,Married,3,2091,48
Attrited Customer,F,Married,1,854,22
Existing Customer,M,Married,1,1848,25
Attrited Customer,F,Married,3,949,17
Existing Customer,M,Unknown,2,1371,37
Existing Customer,F,Married,2,1804,49
Existing Customer,M,Married,1,1605,43
Existing Customer,M,Married,1,1463,38
Existing Customer,M,Single,4,1279,41
Existing Customer,M,Married,3,1470,28
Existing Customer,F,Single,1,1265,38
Existing Customer,F,Married,2,2002,60
Existing Customer,M,Single,3,1475,33
Existing Customer,M,Single,2,1419,30
Existing Customer,F,Single,3,1628,37
Existing Customer,F,Single,2,1337,29
Existing Customer,F,Married,2,1135,27
Existing Customer,M,Single,1,1161,26
Existing Customer,M,Unknown,1,1571,38
Existing Customer,M,Married,1,1916,40
Existing Customer,M,Married,1,1346,30
Attrited Customer,M,Married,1,805,24
Existing Customer,M,Single,3,1195,18
Existing Customer,F,Married,1,1155,34
Existing Customer,F,Single,2,1431,34
Existing Customer,M,Married,3,1194,25
Existing Customer,F,Single,1,1154,33
Existing Customer,F,Married,4,1232,34
Existing Customer,F,Married,1,1269,30
Existing Customer,M,Married,3,1742,35
Existing Customer,M,Single,2,1379,26
Existing Customer,M,Married,3,1870,35
Existing Customer,M,Single,2,1207,32
Attrited Customer,M,Married,3,781,15
Existing Customer,M,Single,3,1773,38
Attrited Customer,F,Married,2,864,20
Existing Customer,F,Married,1,1559,39
Existing Customer,M,Married,3,1830,64
Existing Customer,F,Married,3,1542,43
Existing Customer,M,Single,1,1506,47
Existing Customer,F,Married,1,1175,41
Existing Customer,M,Married,2,1383,20
Existing Customer,M,Married,3,1837,57
Existing Customer,M,Married,3,1191,40
Existing Customer,F,Divorced,2,1793,53
Existing Customer,M,Single,2,1560,49
Existing Customer,M,Married,3,1564,59
Existing Customer,M,Married,3,1843,38
Existing Customer,M,Married,3,2165,61
Existing Customer,F,Single,1,1631,41
Existing Customer,F,Married,1,1265,32
Existing Customer,M,Married,3,1455,35
Existing Customer,F,Married,3,1137,27
Existing Customer,M,Unknown,2,1367,35
Existing Customer,F,Married,2,1292,26
Existing Customer,M,Single,3,1682,46
Existing Customer,F,Married,1,1598,39
Existing Customer,F,Married,2,1555,39
Existing Customer,M,Married,3,2409,36
Existing Customer,M,Divorced,3,1770,65
Existing Customer,M,Married,2,1526,45
Attrited Customer,M,Married,2,891,28
Existing Customer,F,Single,3,1756,42
Existing Customer,M,Single,3,1241,22
Existing Customer,M,Married,1,1681,43
Existing Customer,F,Married,2,1224,32
